"ID";"Nombre";"Descripción";"Mostrados";
"37";"Merchandising";"Esta categoria es para venta de material publicitario";"0";
"36";"Catálogo";"";"1";
"39";"Ron";"";"1";
"72";"Snacks";"";"1";
"43";"Vodka";"";"1";
"81";"Regalos";"";"1";
"46";"Champaña & Espumantes";"";"1";
"40";"Coñac & Brandy";"COGNAC, BRANDY";"1";
"71";"Cremas & Cocteleras";"";"1";
"70";"Pisco";"PISCO";"1";
"44";"Vino";"VINOS, VINO , JEREZ";"1";
"75";"Bebidas & Mixers";"";"1";
"45";"Cerveza & RTD";"";"1";
"42";"Whisky";"WHISKY";"1";
"122";"Aguardiente";"AGUARDIENTE, GRAPA, GRAPPA";"1";
"73";"Aperitivos & Cordiales";"";"1";
"41";"Tequila";"TEQUILA, MEZCAL";"1";
"47";"Gin";"GIN-GINEBRA";"1";
"121";"Packs";"";"1";
"74";"Secos & saborizados";"";"0";
"123";"Promociones1";"";"0";
