"ID";"Logotipo";"Nombre";"Direcciones";"Productos";"Activado";
"9";"";"100 Fuegos";"";"";"1";
"105";"";"1800 Tequila";"";"";"1";
"99";"";"4.40";"";"";"0";
"319";"";"440";"";"";"0";
"358";"";"593";"";"";"0";
"192";"";"ABSOLUT";"";"";"0";
"87";"";"Absolut Vodka";"";"";"0";
"169";"";"ACT II";"";"";"0";
"168";"";"ALEXANDER";"";"";"0";
"230";"";"ALIWEN";"";"";"0";
"261";"";"ALMOND JOY";"";"";"0";
"329";"";"ALTO PALERMO";"";"";"0";
"108";"";"Altos las Hormigas";"";"";"0";
"264";"";"AMARULA";"";"";"0";
"290";"";"AMBASSADOR";"";"";"0";
"267";"";"ANDELUNA";"";"";"0";
"332";"";"ANDES";"";"";"0";
"222";"";"ANTHONY";"";"";"0";
"115";"";"Anthony's";"";"";"0";
"308";"";"ANTHONYS FARM";"";"";"0";
"175";"";"ANTIOQUEÑO";"";"";"0";
"334";"";"APEROL";"";"";"0";
"255";"";"APPLETON";"";"";"0";
"49";"";"Appleton Estate";"";"";"1";
"249";"";"APPLETON JAMAICA RUM";"";"";"0";
"18";"";"Avation";"";"";"0";
"258";"";"BABACO'S";"";"";"0";
"77";"";"Bacardi";"";"";"1";
"251";"";"BACI";"";"";"0";
"51";"";"Baileys";"";"";"1";
"320";"";"BARBA NEGRA";"";"";"0";
"144";"";"BarbaNegra";"";"";"0";
"206";"";"BARDINET";"";"";"0";
"66";"";"Barton & Guestier";"";"";"0";
"291";"";"BELLA TAVOLA";"";"";"0";
"166";"";"BELMONT";"";"";"0";
"289";"";"BELVEDERE";"";"";"0";
"42";"";"BELVEDERE VODKA";"";"";"1";
"85";"";"Black & White";"";"";"1";
"148";"";"Black Castle";"";"";"0";
"151";"";"Black Owl";"";"";"1";
"345";"";"BLACK OWL FIRE";"";"";"0";
"21";"";"Blue Nun";"";"";"0";
"30";"";"Bodega Navarro Correas";"";"";"1";
"63";"";"Bodega Norton";"";"";"1";
"22";"";"Bodegas Julian Chivete";"";"";"0";
"23";"";"Bodegas Lan";"";"";"0";
"58";"";"Bodegas Salentein";"";"";"0";
"74";"";"Bolla";"";"";"0";
"139";"";"Bombay";"";"";"0";
"296";"";"BUCHANANS";"";"";"0";
"33";"";"Buchanan´s";"";"";"0";
"309";"";"BUCKLER";"";"";"0";
"362";"";"BUDWEISER";"";"";"0";
"93";"";"Campari";"";"";"1";
"159";"";"CAMUS";"";"";"0";
"57";"";"Canepa Wines";"";"";"1";
"130";"";"Capel";"";"";"0";
"262";"";"CARTAGENA";"";"";"0";
"114";"";"Casa Bella";"";"";"0";
"292";"";"CASABELLA";"";"";"0";
"157";"";"CATENA";"";"";"0";
"150";"";"Cervecería La Paz";"";"";"0";
"153";"";"Cerveza Sol";"";"";"1";
