"ID";"Nombre";"Descripción";"Posición";"Mostrados";
"36";"Catálogo";"";"1";"1";
"40";"Coñac & Brandy";"COGNAC, BRANDY";"1";"1";
"41";"Tequila";"TEQUILA, MEZCAL";"2";"1";
"42";"Whisky";"WHISKY";"3";"1";
"43";"Vodka";"";"4";"1";
"44";"Vino";"VINOS, VINO , JEREZ";"5";"1";
"45";"Cerveza & RTD";"";"6";"1";
"46";"Champaña & Espumantes";"";"7";"1";
"47";"Gin";"GIN-GINEBRA";"8";"1";
"70";"Pisco";"PISCO";"9";"1";
"71";"Cremas & Cocteleras";"";"10";"1";
"72";"Snacks";"";"11";"1";
"73";"Aperitivos & Cordiales";"";"12";"1";
"75";"Bebidas & Mixers";"";"14";"1";
"81";"Regalos";"";"15";"1";
"122";"Aguardiente";"AGUARDIENTE, GRAPA, GRAPPA";"20";"1";
"121";"Packs";"";"25";"1";
"74";"Secos & saborizados";"";"26";"0";
"123";"Promociones1";"";"27";"0";
"39";"Ron";"";"28";"1";
