"ID";"Nombre";"Descripción";"Posición";"Mostrados";
"40";"Coñac & Brandy";"COGNAC, BRANDY";"0";"1";
"41";"Tequila";"TEQUILA, MEZCAL";"0";"1";
"42";"Whisky";"WHISKY";"0";"1";
"43";"Vodka";"";"0";"1";
"44";"Vino";"VINOS, VINO , JEREZ";"0";"1";
"45";"Cerveza & RTD";"";"0";"1";
"46";"Champaña & Espumantes";"";"0";"1";
"47";"Gin";"GIN-GINEBRA";"0";"1";
"70";"Pisco";"PISCO";"0";"1";
"71";"Cremas & Cocteleras";"";"0";"1";
"72";"Snacks";"";"0";"1";
"73";"Aperitivos & Cordiales";"";"0";"1";
"75";"Bebidas & Mixers";"";"0";"1";
"81";"Regalos";"";"0";"1";
"36";"Catálogo";"";"1";"1";
"122";"Aguardiente";"AGUARDIENTE, GRAPA, GRAPPA";"12";"1";
"121";"Packs";"";"16";"1";
"123";"Promociones1";"";"18";"0";
"74";"Secos & saborizados";"";"21";"0";
"39";"Ron";"";"23";"1";
