"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"3554";"http://www.lataberna.com.ec/img/p/0.jpg";"PISCO OCUCAJE ACHOLADO + VASO ROJO";"50000614";"Pisco";"21.286500";"23.84";"";"0";
"3424";"http://www.lataberna.com.ec/img/p/0.jpg";"L&M BLUE LABEL 10 S";"10080965";"";"2.621885";"2.94";"";"0";
"3618";"http://www.lataberna.com.ec/img/p/0.jpg";"LA CHAMIZA POLO PROF MALBEC + ESTUCHE";"50000649";"Vino";"20.711500";"23.2";"";"0";
"3488";"http://www.lataberna.com.ec/img/p/0.jpg";"PISCO ESPECIAL 750 ML";"10081041";"Pisco";"13.225000";"14.81";"";"0";
"3644";"http://www.lataberna.com.ec/img/p/0.jpg";"JOSE CUEVO GOLD + GRATIS 2 SHOTS";"50000761";"Tequila";"43.930000";"49.2";"";"0";
"3304";"http://www.lataberna.com.ec/img/p/0.jpg";"LATITUD CERO 2 CONCOR + 1 SIERRA NEGRA";"50000347";"Packs";"3.472885";"3.89";"";"0";
"2224";"http://www.lataberna.com.ec/img/p/0.jpg";"SUNNY REFRESH MANZANA 1100ML";"10062432";"Bebidas & Mixers";"1.790000";"2";"";"0";
"2166";"http://www.lataberna.com.ec/img/p/0.jpg";"MORANDE PIONERO CHARDONAY 750ML";"10062239";"Vino";"14.200000";"15.9";"";"0";
"3224";"http://www.lataberna.com.ec/img/p/0.jpg";"WHISKY MC GYBER 20 CL";"10064281";"Whisky";"3.047385";"3.41";"";"0";
"2378";"http://www.lataberna.com.ec/img/p/0.jpg";"MICHELADA MIX HOT";"10062854";"Bebidas & Mixers";"3.340000";"3.74";"11";"0";
"3115";"http://www.lataberna.com.ec/img/p/0.jpg";"24 LATITUD CERO CONCORDIA ON";"50000231";"Cerveza & RTD";"46.920000";"52.55";"6";"0";
"2020";"http://www.lataberna.com.ec/img/p/0.jpg";"RUFFLES NAT 200GR";"10061742";"Snacks";"2.420000";"2.71";"7";"0";
"3011";"http://www.lataberna.com.ec/img/p/0.jpg";"CERVEZA PARAMO WEISSBIER 330ML";"10067309";"Cerveza & RTD";"2.960000";"3.32";"0";"0";
"2207";"http://www.lataberna.com.ec/img/p/0.jpg";"MENTOS FRUTAS 29GR";"10062400";"Snacks";"0.540000";"0.6";"0";"0";
"3263";"http://www.lataberna.com.ec/img/p/0.jpg";"NORTON BARRE CAB SAUV (2DA A 1/2 PRECIO)";"50000322";"Vino";"22.350000";"25.03";"";"0";
"2329";"http://www.lataberna.com.ec/img/p/0.jpg";"ZHUMIR DECO PINK 300ML";"10062733";"Cerveza & RTD";"0.890000";"1";"";"0";
"2839";"http://www.lataberna.com.ec/img/p/0.jpg";"VINO RIUNITE D'ORO 1.5L VILLA BANDI";"10064105";"Vino";"10.260000";"11.49";"";"0";
"2353";"http://www.lataberna.com.ec/img/p/0.jpg";"TRIBUTO CHARDONNAY 2006 750ML";"10062781";"Vino";"24.500000";"27.44";"";"0";
"3090";"http://www.lataberna.com.ec/img/p/0.jpg";"ICELAND MELON 750 + PUNCH TH 2000ML";"50000155";"Vodka";"10.270000";"11.5";"39";"0";
"2059";"http://www.lataberna.com.ec/img/p/0.jpg";"NECTAR ROJO 750ML";"10061873";"Aguardiente";"19.550000";"21.9";"";"0";
"3529";"http://www.lataberna.com.ec/img/p/0.jpg";"PACK KARNAL PLATA + KARNAL MARGARITA MIX";"50000172";"Tequila";"15.479000";"17.34";"";"0";
"3399";"http://www.lataberna.com.ec/img/p/0.jpg";"BAILEYS 750ML + 2 VASOS";"50000411";"";"31.854885";"35.68";"";"0";
"3593";"http://www.lataberna.com.ec/img/p/0.jpg";"MANI MOTO NATURAL 40 GR";"10084079";"";"0.471500";"0.53";"";"0";
"3279";"http://www.lataberna.com.ec/img/p/0.jpg";"TRIDENT 18 T FRUITMIX UVA-LIMONADA";"10077569";"Packs";"1.320000";"1.48";"";"0";
"3683";"http://www.lataberna.com.ec/img/p/0.jpg";"NORTON VARIETAL CAB. SAV. + DESCORCHADOR";"50000780";"Vino";"8.429500";"9.44";"";"0";
"2140";"http://www.lataberna.com.ec/img/p/0.jpg";"TROPICO MANZANA 750ML";"10062143";"Aguardiente";"4.520000";"5.06";"0";"0";
"3199";"http://www.lataberna.com.ec/img/p/0.jpg";"INTRO KITS ABSOLUTE";"10062652";"Snacks";"49.990500";"55.99";"";"0";
"2264";"http://www.lataberna.com.ec/img/p/0.jpg";"CIG. MARLBORO GOLD CAJ.X10 UNID.";"10062544";"Snacks";"2.770000";"3.1";"31";"1";
"2960";"http://www.lataberna.com.ec/img/p/0.jpg";"BLUE NUN LIEBRAUMILCH 750ML+ESTUCHE";"10065098";"Vino";"24.550000";"27.5";"11";"0";
"3025";"http://www.lataberna.com.ec/img/p/0.jpg";"ALTO PALERMO MERLOT 750ML CE";"10067484";"Vino";"7.100000";"7.95";"21";"0";
"3568";"http://www.lataberna.com.ec/img/p/0.jpg";"COCA COLA ZERO 350 ML";"10084064";"";"0.414000";"0.46";"";"0";
"3502";"http://www.lataberna.com.ec/img/p/0.jpg";"MAX RESERVA CARMENERE 750ML";"10062715";"Vino";"31.165000";"34.9";"";"0";
"3658";"http://www.lataberna.com.ec/img/p/0.jpg";"GLENMORANGIE ORIGINAL 70CL";"10084147";"Whisky";"51.911000";"58.14";"";"0";
"2115";"http://www.lataberna.com.ec/img/p/0.jpg";"CRUNCH 23GR";"10062050";"Snacks";"0.450000";"0.5";"0";"0";
"3174";"http://www.lataberna.com.ec/img/p/0.jpg";"RESERVA SAUVIGNON 750ML";"10062705";"Vino";"25.660000";"28.74";"";"0";
"2180";"http://www.lataberna.com.ec/img/p/0.jpg";"LICOR CACAO BLANC 70 CL BARDINET";"10062279";"Vino";"5.480000";"6.14";"";"0";
"3382";"http://www.lataberna.com.ec/img/p/0.jpg";"DIPPAS MAIZ AMARILLO 150 GR";"10079803";"";"1.700000";"1.9";"";"0";
"2304";"http://www.lataberna.com.ec/img/p/0.jpg";"TRIDENT INTENSE 10,2GR";"10062685";"Snacks";"0.450000";"0.5";"0";"0";
"2814";"http://www.lataberna.com.ec/img/p/0.jpg";"BUCKLER 33CL";"10064074";"Cerveza & RTD";"1.470000";"1.65";"";"0";
"3633";"http://www.lataberna.com.ec/img/p/0.jpg";"PACK NORTON BARREL CHARDONAY + PACARI";"50000752";"Vino";"12.466000";"13.96";"";"0";
"3293";"http://www.lataberna.com.ec/img/p/0.jpg";"FRUIT JUGO NATURAL MORA LATA 350 ML";"10077938";"Packs";"0.804885";"0.9";"";"0";
"3213";"http://www.lataberna.com.ec/img/p/0.jpg";"FRUIT MANZANA 1400ML";"10073893";"Bebidas & Mixers";"0.747500";"0.84";"";"0";
"2653";"http://www.lataberna.com.ec/img/p/4/5/6/5/4565.jpg";"POLO AMATEUR CABERNET SAUVIGNON 750 ML";"10063824";"Vino";"9.820000";"11";"21";"1";
"3357";"http://www.lataberna.com.ec/img/p/0.jpg";"JOHNNIE WALKER RED GINGEL ALE";"50000377";"Whisky";"21.792385";"24.41";"";"0";
"2278";"http://www.lataberna.com.ec/img/p/0.jpg";"LAPOSTOLLE CASA SAUVIGNON BLANC 750ML";"10062628";"Vino";"27.500000";"30.8";"";"0";
"2853";"http://www.lataberna.com.ec/img/p/0.jpg";"AGUA IMPERIAL 1250 CM3";"10064132";"Bebidas & Mixers";"0.740000";"0.83";"0";"0";
"3040";"http://www.lataberna.com.ec/img/p/0.jpg";"VENTISQUERO RESERVA CHARDONNAY 750ML";"10068155";"Vino";"17.770000";"19.9";"9";"0";
"2917";"http://www.lataberna.com.ec/img/p/0.jpg";"JUGO SPLASH LIMONADA 3400ML";"10064276";"Bebidas & Mixers";"1.310000";"1.47";"13";"0";
"2367";"http://www.lataberna.com.ec/img/p/0.jpg";"MALBORO BLUE ICE X10";"10062805";"Snacks";"2.990000";"3.35";"0";"0";
"3104";"http://www.lataberna.com.ec/img/p/0.jpg";"PACK KARNAL ORO + 2 SHOTS";"50000168";"Tequila";"14.640000";"16.4";"0";"0";
"2934";"http://www.lataberna.com.ec/img/p/0.jpg";"PACKCONO SUR BIC CABER.SAU750ML+ ECOPOT";"10064308";"Vino";"13.380000";"14.99";"";"0";
"2074";"http://www.lataberna.com.ec/img/p/0.jpg";"ZHUMIR MARACUYA 375ML";"10061912";"Aguardiente";"4.350000";"4.87";"";"0";
"3543";"http://www.lataberna.com.ec/img/p/0.jpg";"TANQUERAY +MIXER + SNACK GRATIS";"50000536";"Gin";"21.340000";"23.9";"";"0";
"3413";"http://www.lataberna.com.ec/img/p/0.jpg";"ANTHONY BY RIUNITE BLUEBERRY 750ML 12+1";"50000392";"Vino";"61.961885";"69.4";"";"0";
"3607";"http://www.lataberna.com.ec/img/p/0.jpg";"12 JWB + 6 FREIXINET CORDON NEGRO";"50000728";"Whisky";"616.860000";"690.88";"";"0";
"2892";"http://www.lataberna.com.ec/img/p/0.jpg";"REGION CABERNET SAUVIGNON 375ML";"10064244";"Vino";"3.730000";"4.18";"9";"0";
"2342";"http://www.lataberna.com.ec/img/p/0.jpg";"ZHUMIR LIMON 375ML";"10062753";"Aguardiente";"2.240000";"2.51";"";"0";
"3079";"http://www.lataberna.com.ec/img/p/0.jpg";"GUAYASAMIN DON OSWALDO CE 750ML";"50000141";"Vino";"15.950000";"17.86";"0";"0";
"2406";"http://www.lataberna.com.ec/img/p/0.jpg";"NESTEA TE VERDE LIMON 500ML";"10062947";"Merchandising";"0.760000";"0.85";"";"0";
"3146";"http://www.lataberna.com.ec/img/p/0.jpg";"MANI CRIS SALADO FAMILIAR 100GR";"10074280";"Snacks";"1.140000";"1.28";"";"0";
