Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Low stock level;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
;0;PACK JWB + VASO PEAKS;Whisky;49.9;;;;;;;;50000567;;;;;;;;;;;0;;;;;;44.55;PACK JWB + VASO PEAKS;PACK JWB + VASO PEAKS;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;PACK VASO RON LA TABERNA;;1.75;;;;;;;;50000790;;;;;;;;;;;0;;;;;;1.564;PACK VASO RON LA TABERNA;PACK VASO RON LA TABERNA;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;JUICE DRINK GRAPE 473ML;Bebidas & Mixers;3;;;;;;;;10061915;;;;;;;;;;;0;;;;;;2.68;JUICE DRINK GRAPE 473ML;JUICE DRINK GRAPE 473ML;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;4 PACK LATITUD CERO CONCORDIA 330 ML;Cerveza & RTD;8.75;;;;;;;;10067011;;;;;;;;;;;0;;;;;;7.81;4 PACK LATITUD CERO CONCORDIA 330 ML;4 PACK LATITUD CERO CONCORDIA 330 ML;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;CRISTAL AGUARDIENTE BALON 750ML;Aguardiente;8.56;;;;;;;;10062908;;;;;;;;;;;0;;;;;;7.64;CRISTAL AGUARDIENTE BALON 750ML;CRISTAL AGUARDIENTE BALON 750ML;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;DIPPAS MAIZ AMARILLO 150 GR;;1.9;;;;;;;;10079803;;;;;;;;;;;0;;;;;;1.7;DIPPAS MAIZ AMARILLO 150 GR;DIPPAS MAIZ AMARILLO 150 GR;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;MONTES ALPHA CARMENERE 750ML;Vino;40.24;;;;;;;;10062342;;;;;;;;;;;0;;;;;;35.926;MONTES ALPHA CARMENERE 750ML;MONTES ALPHA CARMENERE 750ML;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;LICOR CACAO BLANC 70 CL BARDINET;Vino;6.14;;;;;;;;10062279;;;;;;;;;;;0;;;;;;5.48;LICOR CACAO BLANC 70 CL BARDINET;LICOR CACAO BLANC 70 CL BARDINET;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;MANI MOTO NATURAL 210 GR;;2.37;;;;;;;;10084080;;;;;;;;;;;0;;;;;;2.116;MANI MOTO NATURAL 210 GR;MANI MOTO NATURAL 210 GR;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;VIVANT LIPOTERMICA 500ML;Bebidas & Mixers;0.55;;;;;;;;10062734;;;;;;;;;;;0;;;;;;0.49;VIVANT LIPOTERMICA 500ML;VIVANT LIPOTERMICA 500ML;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;HEINEKEN 10CJAS 330ML+1 CJA 250ML;;500.77;;;;;;;;50000185;;;;;;;;;;;0;;;;;;447.12;HEINEKEN 10CJAS 330ML+1 CJA 250ML;HEINEKEN 10CJAS 330ML+1 CJA 250ML;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;CJEREZ DON ZOILO AMON. MED.SHERRY 750 ML;Vino;29.13;;;;;;;;10063512;;;;;;;;;;;0;;;;;;26.01;CJEREZ DON ZOILO AMON. MED.SHERRY 750 ML;CJEREZ DON ZOILO AMON. MED.SHERRY 750 ML;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;CS 20 BARRELS CAB SAUV+ CAJA DE MADERA;Vino;50.1;;;;;;;;50000640;;;;;;;;;;;0;;;;;;44.735;CS 20 BARRELS CAB SAUV+ CAJA DE MADERA;CS 20 BARRELS CAB SAUV+ CAJA DE MADERA;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
;0;HALSS MENTA FRESCA 28,8GR;Snacks;0.5;;;;;;;;10062959;;;;;;;;;;;0;;;;;;0.45;HALSS MENTA FRESCA 28,8GR;HALSS MENTA FRESCA 28,8GR;;;;;;;;;;;;http://www.lataberna.com.ec/img/p/0.jpg;;;;;;;;;;;;;
